City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,52.66,58,98,4.0,overcast clouds
1,Guhagar,IN,17.4842,73.1929,73.58,92,98,2.84,overcast clouds
2,Talnakh,RU,69.4865,88.3972,-23.8,98,100,11.23,overcast clouds
3,Khatanga,RU,71.9667,102.5,-19.01,98,100,14.36,light snow
4,Castro,BR,-24.7911,-50.0119,70.0,70,53,9.26,broken clouds
5,Butaritari,KI,3.0707,172.7902,82.47,70,69,14.14,broken clouds
6,Punta Arenas,CL,-53.15,-70.9167,55.51,47,75,27.63,broken clouds
7,Oksfjord,NO,70.2396,22.3479,18.52,91,40,11.54,scattered clouds
8,Halifax,CA,44.6453,-63.5724,37.47,83,93,11.01,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,60.48,99,100,4.09,light rain
10,Mangrol,IN,21.1167,70.1167,70.86,58,2,8.28,clear sky
11,Palmer,US,42.1584,-72.3287,39.02,46,20,5.01,few clouds
12,Hermanus,ZA,-34.4187,19.2345,62.91,72,44,12.5,scattered clouds
13,New Bedford,US,41.6362,-70.9342,41.29,50,6,1.99,clear sky
14,Saint George,US,37.1041,-113.5841,73.87,24,1,1.01,clear sky
15,Hithadhoo,MV,-0.6,73.0833,81.34,78,8,10.33,clear sky
16,Chokurdakh,RU,70.6333,147.9167,-20.33,94,100,13.38,overcast clouds
17,Tautira,PF,-17.7333,-149.15,84.22,75,16,16.64,few clouds
18,Lavrentiya,RU,65.5833,-171.0,12.52,94,100,14.67,snow
19,Bud,US,39.447,-86.1758,63.32,62,0,4.79,clear sky
20,Camopi,GF,3.1655,-52.3158,74.53,98,100,3.18,overcast clouds
21,Avera,US,33.194,-82.5271,80.71,31,12,6.93,few clouds
22,Nanortalik,GL,60.1432,-45.2371,27.28,53,98,7.7,overcast clouds
23,Saskylakh,RU,71.9167,114.0833,-23.58,96,100,11.05,overcast clouds
24,Zelenoborsk,RU,61.4669,64.0333,11.5,90,56,8.12,broken clouds
25,Bubaque,GW,11.2833,-15.8333,82.09,73,92,12.88,overcast clouds
26,Saldanha,ZA,-33.0117,17.9442,62.65,80,38,25.37,scattered clouds
27,Toba,JP,34.4833,136.85,50.0,68,24,20.31,few clouds
28,Staryy Nadym,RU,65.6118,72.6842,-8.23,89,100,8.01,overcast clouds
29,Zhengjiatun,CN,43.5064,123.5064,6.75,92,23,4.18,few clouds
30,Luau,AO,-10.7073,22.2247,63.66,92,81,1.63,broken clouds
31,Olafsvik,IS,64.8945,-23.7142,36.07,71,100,4.54,overcast clouds
32,Mathathane,BW,-22.2687,28.7495,87.91,30,0,16.04,clear sky
33,Anloga,GH,5.7947,0.8973,84.42,79,100,11.88,overcast clouds
34,Rikitea,PF,-23.1203,-134.9692,76.59,74,64,14.32,light rain
35,Aksha,RU,50.2814,113.2867,14.29,90,5,4.7,clear sky
36,Banda Aceh,ID,5.5577,95.3222,76.48,85,100,12.24,light rain
37,Vila Do Maio,CV,15.1333,-23.2167,74.19,69,65,21.23,broken clouds
38,Kindersley,CA,51.4668,-109.1682,31.78,86,75,16.11,broken clouds
39,Amapa,BR,1.0,-52.0,76.03,92,97,2.48,overcast clouds
40,Ribeira Grande,PT,38.5167,-28.7,63.0,94,20,5.75,few clouds
41,Longyearbyen,SJ,78.2186,15.6401,33.64,64,40,20.71,scattered clouds
42,Goderich,CA,43.7501,-81.7165,35.91,75,99,3.44,overcast clouds
43,Mayo,US,38.8876,-76.5119,53.29,50,90,5.99,overcast clouds
44,Mar Del Plata,AR,-38.0023,-57.5575,62.1,91,90,3.0,light rain
45,Qaanaaq,GL,77.484,-69.3632,8.65,95,100,0.27,light snow
46,Norfolk,US,42.1668,-71.2495,40.55,46,1,3.0,clear sky
47,Alekseyevka,RU,50.6309,38.6903,47.21,84,100,19.95,overcast clouds
48,Bluff,NZ,-46.6,168.3333,60.8,93,100,5.28,overcast clouds
49,Clyde River,CA,70.4692,-68.5914,10.63,85,89,11.5,overcast clouds
50,Mahon,ES,39.8885,4.2658,46.96,71,20,3.44,few clouds
51,Barrow,US,71.2906,-156.7887,-16.58,76,1,21.85,haze
52,Kapaa,US,22.0752,-159.319,75.18,79,75,4.0,moderate rain
53,Marawi,PH,7.9986,124.2928,63.64,98,94,3.18,overcast clouds
54,Grindavik,IS,63.8424,-22.4338,30.67,100,75,3.44,light shower snow
55,Bayshore Gardens,US,27.4253,-82.5904,77.02,58,1,4.61,clear sky
56,Ushuaia,AR,-54.8,-68.3,56.86,38,75,17.27,broken clouds
57,Lebu,CL,-37.6167,-73.65,56.48,74,0,18.7,clear sky
58,Ahmadpur East,PK,29.1431,71.2598,63.59,20,0,4.94,clear sky
59,Kuruman,ZA,-27.4524,23.4325,61.99,85,100,15.66,moderate rain
60,Khonsa,IN,27.0167,95.5667,56.98,83,100,3.56,overcast clouds
61,Chapais,CA,49.7834,-74.8492,6.58,92,100,10.13,overcast clouds
62,Fort Nelson,CA,58.8053,-122.7002,-8.01,71,40,2.3,scattered clouds
63,Yellowknife,CA,62.456,-114.3525,-9.71,77,75,13.8,broken clouds
64,Noyabrsk,RU,63.1994,75.4507,0.99,96,100,8.28,overcast clouds
65,Busselton,AU,-33.65,115.3333,52.05,80,0,11.43,clear sky
66,Georgetown,MY,5.4112,100.3354,78.89,84,20,1.14,few clouds
67,Harrismith,ZA,-28.2728,29.1295,58.05,91,53,5.32,broken clouds
68,Port Alfred,ZA,-33.5906,26.891,64.29,76,100,7.25,overcast clouds
69,Vao,NC,-22.6667,167.4833,76.35,77,91,15.3,overcast clouds
70,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,20,8.05,few clouds
71,Arroyo,ES,41.6096,-4.7969,45.61,86,33,7.94,scattered clouds
72,Kaitangata,NZ,-46.2817,169.8464,57.9,98,100,3.85,light rain
73,Constitucion,CL,-35.3333,-72.4167,61.88,57,2,16.49,clear sky
74,Cape Town,ZA,-33.9258,18.4232,63.12,65,20,5.01,few clouds
75,Cabo San Lucas,MX,22.8909,-109.9124,92.5,58,1,3.0,clear sky
76,Praia,CV,14.9215,-23.5087,73.94,73,20,19.57,few clouds
77,Puerto Ayora,EC,-0.7393,-90.3518,78.76,81,77,9.55,broken clouds
78,Albany,US,42.6001,-73.9662,35.37,50,2,1.01,clear sky
